PFAF_ID_07,n_children,delta_E_m,axis,relief_class,f_up_area,multi_outlet,split_degenerate
7832860,9,127.2,topology_pfaf,low,0.561,False,False
7832880,9,261.2,topology_pfaf,low,0.248,False,False
7832849,9,229.8,topology_pfaf,low,0.377,False,False
7832999,9,597.5,topology_pfaf,mixed,0.718,False,False
7833102,9,508.4,topology_pfaf,mixed,0.612,False,False
7833200,8,474.0,topology_pfaf,mixed,0.877,False,False
7833400,9,496.5,topology_pfaf,mixed,0.432,False,False
7833505,9,591.6,topology_pfaf,mixed,0.287,True,False
7833600,9,579.5,topology_pfaf,mixed,0.273,False,False
7833800,9,394.6,topology_pfaf,mixed,0.539,False,False
7834010,9,291.9,topology_pfaf,low,0.537,False,False
7834040,9,426.7,topology_pfaf,mixed,0.479,False,False
7834050,9,371.7,topology_pfaf,mixed,0.586,False,False
7834070,5,250.1,topology_dist,low,1.0,False,True
